title,title_type,genre,runtime,mpaa_rating,thtr_rel_year,thtr_rel_month,thtr_rel_day,imdb_rating,imdb_num_votes,critics_rating,critics_score,audience_rating,audience_score,best_pic_nom,best_pic_win,best_actor_win,best_actress_win,best_dir_win,top200_box,director,imdb_url,rt_url
Pusher III: I'm the Angel of Death,Feature Film,Drama,90.0,R,2005.0,9.0,2.0,7.3,9001,Fresh,92.0,Upright,81.0,no,no,no,no,no,no,Nicolas Winding Refn,http://www.imdb.com/title/tt0425379/,//www.rottentomatoes.com/m/pusher_iii_im_the_angel_of_death/
Two for the Money,Feature Film,Drama,122.0,R,2005.0,10.0,7.0,6.2,35868,Rotten,22.0,Spilled,48.0,no,no,yes,no,no,no,D.J. Caruso,http://www.imdb.com/title/tt0417217/,//www.rottentomatoes.com/m/two_for_the_money/
Star Trek V - The Final Frontier,Feature Film,Action & Adventure,107.0,PG,1989.0,6.0,9.0,5.4,41767,Rotten,21.0,Spilled,24.0,no,no,no,no,no,no,William Shatner,http://www.imdb.com/title/tt0098382/,//www.rottentomatoes.com/m/star_trek_v_the_final_frontier/
Cop & 1/2,Feature Film,Comedy,97.0,PG,1993.0,4.0,2.0,3.8,6954,Rotten,17.0,Spilled,35.0,no,no,no,no,no,no,Henry Winkler,http://www.imdb.com/title/tt0106613/,//www.rottentomatoes.com/m/cop_and_12/
Django Unchained,Feature Film,Other,165.0,R,2012.0,12.0,25.0,8.5,893008,Certified Fresh,88.0,Upright,91.0,yes,no,yes,no,no,no,Quentin Tarantino,http://www.imdb.com/title/tt1853728/,//www.rottentomatoes.com/m/django_unchained_2012/
Cousins,Feature Film,Drama,109.0,PG-13,1989.0,1.0,1.0,6.2,3467,Rotten,50.0,Upright,69.0,no,no,no,no,no,no,Joel Schumacher,http://www.imdb.com/title/tt0097116/,//www.rottentomatoes.com/m/cousins/
Spy Game,Feature Film,Drama,126.0,R,2001.0,11.0,21.0,7.0,117688,Fresh,66.0,Upright,75.0,no,no,no,no,no,no,Tony Scott,http://www.imdb.com/title/tt0266987/,//www.rottentomatoes.com/m/spy_game/
Held Up,Feature Film,Comedy,89.0,PG-13,2000.0,5.0,12.0,5.1,2817,Rotten,17.0,Spilled,43.0,no,no,yes,no,no,no,Steve Rash,http://www.imdb.com/title/tt0165831/,//www.rottentomatoes.com/m/held_up/
Striking Distance,Feature Film,Mystery & Suspense,102.0,R,1993.0,9.0,17.0,5.8,32751,Rotten,14.0,Spilled,35.0,no,no,no,no,no,no,Rowdy Herrington,http://www.imdb.com/title/tt0108238/,//www.rottentomatoes.com/m/striking_distance/
One Night With the King,Feature Film,Drama,123.0,PG,2006.0,10.0,13.0,6.3,5704,Rotten,19.0,Upright,78.0,no,no,no,no,no,no,Michael O. Sajbel,http://www.imdb.com/title/tt0430431/,//www.rottentomatoes.com/m/one_night_with_the_king/
Phil Ochs: There But For Fortune,Documentary,Musical & Performing Arts,96.0,Unrated,2011.0,1.0,5.0,7.6,318,Fresh,97.0,Upright,78.0,no,no,no,no,no,no,Kenneth Bowser,http://www.imdb.com/title/tt1597089/,//www.rottentomatoes.com/m/phil_ochs_there_but_for_fortune/
Lethal Weapon 4,Feature Film,Action & Adventure,127.0,R,1998.0,7.0,10.0,6.6,123989,Rotten,52.0,Upright,64.0,no,no,no,no,no,no,Richard Donner,http://www.imdb.com/title/tt0122151/,//www.rottentomatoes.com/m/lethal_weapon_4/
101 Dalmatians,Feature Film,Action & Adventure,103.0,G,1996.0,11.0,29.0,5.6,70209,Rotten,38.0,Spilled,40.0,no,no,no,no,no,yes,Stephen Herek,http://www.imdb.com/title/tt0115433/,//www.rottentomatoes.com/m/1074108-101_dalmatians/
Bhutto,Documentary,Documentary,111.0,Unrated,2010.0,12.0,3.0,7.8,541,Fresh,86.0,Upright,88.0,no,no,no,no,no,no,Duane Baughman,http://www.imdb.com/title/tt1524095/,//www.rottentomatoes.com/m/bhutto/
Deep Impact,Feature Film,Drama,120.0,PG-13,1998.0,5.0,8.0,6.1,132215,Rotten,48.0,Spilled,43.0,no,no,yes,no,no,no,Mimi Leder,http://www.imdb.com/title/tt0120647/,//www.rottentomatoes.com/m/deep_impact/
Shoot 'Em Up,Feature Film,Drama,86.0,R,2007.0,9.0,7.0,6.7,127458,Fresh,67.0,Upright,65.0,no,no,no,no,no,no,Michael Davis,http://www.imdb.com/title/tt0465602/,//www.rottentomatoes.com/m/shoot_em_up/
The Room,Feature Film,Drama,99.0,R,2003.0,6.0,27.0,3.5,27769,Rotten,35.0,Spilled,46.0,no,no,no,no,no,no,Tommy Wiseau,http://www.imdb.com/title/tt0368226/,//www.rottentomatoes.com/m/the_room_1998/
Made of Honor,Feature Film,Comedy,101.0,PG-13,2008.0,5.0,2.0,5.8,52635,Rotten,14.0,Spilled,55.0,no,no,no,no,no,no,Paul Weiland,http://www.imdb.com/title/tt0866439/,//www.rottentomatoes.com/m/made_of_honor/
The Longest Yard,Feature Film,Drama,121.0,R,1974.0,8.0,30.0,7.1,12819,Fresh,81.0,Upright,75.0,no,no,no,no,no,no,Robert Aldrich,http://www.imdb.com/title/tt0071771/,//www.rottentomatoes.com/m/1012665-longest_yard/
Dirty Love,Feature Film,Comedy,91.0,R,2005.0,9.0,23.0,3.5,6054,Rotten,4.0,Upright,67.0,no,no,no,no,no,no,John Mallory Asher,http://www.imdb.com/title/tt0327643/,//www.rottentomatoes.com/m/dirty_love/
Berberian Sound Studio,Feature Film,Horror,92.0,Unrated,2013.0,6.0,14.0,6.2,9367,Certified Fresh,84.0,Spilled,54.0,no,no,no,no,no,no,Peter Strickland,http://www.imdb.com/title/tt1833844/,//www.rottentomatoes.com/m/berberian_sound_studio_2012/
A Good Old Fashioned Orgy,Feature Film,Comedy,95.0,R,2011.0,9.0,2.0,6.2,17798,Rotten,32.0,Spilled,41.0,no,no,no,no,no,no,Alex Gregory,http://www.imdb.com/title/tt1231586/,//www.rottentomatoes.com/m/a-good-old-fashioned-orgy/
May,Feature Film,Drama,93.0,R,2003.0,6.0,6.0,6.7,26010,Fresh,69.0,Upright,75.0,no,no,no,no,no,no,Lucky McKee,http://www.imdb.com/title/tt0303361/,//www.rottentomatoes.com/m/may/
Any Day Now,Feature Film,Drama,98.0,R,2012.0,12.0,14.0,7.5,4515,Certified Fresh,79.0,Upright,76.0,no,no,no,no,no,no,Travis Fine,http://www.imdb.com/title/tt2066176/,//www.rottentomatoes.com/m/any_day_now_2012/
Africa: The Serengeti,Documentary,Documentary,39.0,Unrated,1994.0,4.0,8.0,7.3,535,Fresh,100.0,Upright,74.0,no,no,no,no,no,no,George Casey,http://www.imdb.com/title/tt0109049/,//www.rottentomatoes.com/m/imax_africa_the_serengeti/
Grosse Pointe Blank,Feature Film,Drama,107.0,R,1997.0,4.0,11.0,7.4,71572,Certified Fresh,79.0,Upright,87.0,no,no,no,no,no,no,George Armitage,http://www.imdb.com/title/tt0119229/,//www.rottentomatoes.com/m/grosse_pointe_blank/
Jack and Jill,Feature Film,Comedy,91.0,PG,2011.0,11.0,11.0,3.4,57933,Rotten,3.0,Spilled,37.0,no,no,yes,no,no,no,Dennis Dugan,http://www.imdb.com/title/tt0810913/,//www.rottentomatoes.com/m/jack_and_jill_2011/
Sherman's March,Documentary,Documentary,157.0,Unrated,1986.0,9.0,5.0,7.5,1784,Fresh,100.0,Upright,86.0,no,no,no,no,no,no,Ross McElwee,http://www.imdb.com/title/tt0091943/,//www.rottentomatoes.com/m/1050454-1050454-shermans_march/
"The Ninth Configuration (Twinkle, Twinkle, Killer Kane)",Feature Film,Drama,118.0,R,1980.0,2.0,29.0,7.2,3883,Fresh,70.0,Upright,79.0,no,no,no,no,no,no,William Peter Blatty,http://www.imdb.com/title/tt0081237/,//www.rottentomatoes.com/m/ninth_configuration/
Mr. & Mrs. Bridge,Feature Film,Drama,126.0,PG-13,1990.0,11.0,23.0,6.7,2282,Fresh,80.0,Spilled,42.0,no,no,yes,yes,no,no,James Ivory,http://www.imdb.com/title/tt0100200/,//www.rottentomatoes.com/m/mr_and_mrs_bridge/
Space Jam,Feature Film,Comedy,88.0,PG,1996.0,11.0,15.0,6.3,105745,Rotten,36.0,Upright,63.0,no,no,no,no,no,no,Joe Pytka,http://www.imdb.com/title/tt0117705/,//www.rottentomatoes.com/m/space_jam/
Spring Breakers,Feature Film,Drama,94.0,R,2013.0,3.0,22.0,5.3,104457,Fresh,66.0,Spilled,38.0,no,no,no,no,no,no,Harmony Korine,http://www.imdb.com/title/tt2101441/,//www.rottentomatoes.com/m/spring_breakers_2013/
Fantastic Four: Rise of the Silver Surfer,Feature Film,Action & Adventure,92.0,PG,2007.0,6.0,15.0,5.6,205065,Rotten,37.0,Spilled,51.0,no,no,no,no,no,no,Tim Story,http://www.imdb.com/title/tt0486576/,//www.rottentomatoes.com/m/fantastic_four_2_rise_of_the_silver_surfer/
The Hangover,Feature Film,Comedy,100.0,R,2009.0,6.0,5.0,7.8,562136,Certified Fresh,79.0,Upright,84.0,no,no,no,no,no,yes,Todd Phillips,http://www.imdb.com/title/tt1119646/,//www.rottentomatoes.com/m/10010667-hangover/
The Shaggy D.A.,Feature Film,Comedy,91.0,G,1976.0,12.0,17.0,5.7,1778,Rotten,50.0,Spilled,44.0,no,no,no,no,no,no,Robert Stevenson,http://www.imdb.com/title/tt0075200/,//www.rottentomatoes.com/m/shaggy_da/
Orca - The Killer Whale,Feature Film,Drama,92.0,PG,1977.0,7.0,15.0,5.6,7628,Rotten,15.0,Spilled,33.0,no,no,no,no,no,no,Michael Anderson,http://www.imdb.com/title/tt0076504/,//www.rottentomatoes.com/m/orca_the_killer_whale/
Tang shan da xiong (Fists of Fury) (The Big Boss),Feature Film,Drama,100.0,R,1972.0,4.0,1.0,7.1,17934,Fresh,60.0,Upright,74.0,no,no,no,no,no,no,Wei Lo,http://www.imdb.com/title/tt0067824/,//www.rottentomatoes.com/m/fists_of_fury/
The Story Of Luke,Feature Film,Drama,96.0,Unrated,2013.0,4.0,5.0,7.3,2502,Fresh,80.0,Upright,78.0,no,no,no,no,no,no,Alonso Mayo,http://www.imdb.com/title/tt1038693/,//www.rottentomatoes.com/m/the_story_of_luke_2012/
"New York, New York",Feature Film,Drama,155.0,PG,1977.0,6.0,22.0,6.7,13092,Fresh,67.0,Spilled,59.0,no,no,yes,yes,yes,no,Martin Scorsese,http://www.imdb.com/title/tt0076451/,//www.rottentomatoes.com/m/new_york_new_york/
Barbarosa,Feature Film,Other,90.0,PG,1982.0,2.0,19.0,6.6,1010,Fresh,100.0,Upright,74.0,no,no,no,no,no,no,Fred Schepisi,http://www.imdb.com/title/tt0083619/,//www.rottentomatoes.com/m/barbarosa/
Sinbad and the Eye of the Tiger,Feature Film,Action & Adventure,113.0,G,1977.0,1.0,1.0,6.3,4687,Fresh,63.0,Spilled,55.0,no,no,no,no,no,no,Sam Wanamaker,http://www.imdb.com/title/tt0076716/,//www.rottentomatoes.com/m/sinbad_and_the_eye_of_the_tiger/
K-19: The Widowmaker,Feature Film,Drama,138.0,PG-13,2002.0,7.0,19.0,6.6,48137,Fresh,60.0,Spilled,52.0,no,no,no,no,yes,no,Kathryn Bigelow,http://www.imdb.com/title/tt0267626/,//www.rottentomatoes.com/m/k19_the_widowmaker/
What's Eating Gilbert Grape,Feature Film,Drama,118.0,PG-13,1993.0,12.0,25.0,7.8,164112,Certified Fresh,89.0,Upright,89.0,no,no,no,no,no,no,Lasse Hallstrom,http://www.imdb.com/title/tt0108550/,//www.rottentomatoes.com/m/whats_eating_gilbert_grape/
Of Mice and Men,Feature Film,Drama,115.0,PG-13,1992.0,10.0,2.0,7.5,30921,Fresh,96.0,Upright,82.0,yes,no,no,no,no,no,Gary Sinise,http://www.imdb.com/title/tt0105046/,//www.rottentomatoes.com/m/1040322-of_mice_and_men/
In the Name of the King: A Dungeon Siege Tale,Feature Film,Action & Adventure,127.0,PG-13,2006.0,11.0,3.0,3.8,37640,Rotten,4.0,Spilled,22.0,no,no,no,no,no,no,Uwe Boll,http://www.imdb.com/title/tt0460780/,//www.rottentomatoes.com/m/in-the-name-of-the-king-a-dungeon-siege-tale/
Hairspray,Feature Film,Musical & Performing Arts,117.0,PG,2007.0,7.0,20.0,6.8,95327,Certified Fresh,91.0,Upright,85.0,no,no,no,no,no,no,Adam Shankman,http://www.imdb.com/title/tt0427327/,//www.rottentomatoes.com/m/hairspray/
Godzilla,Feature Film,Mystery & Suspense,123.0,PG-13,2014.0,5.0,16.0,6.5,289825,Certified Fresh,74.0,Upright,66.0,no,no,no,no,no,no,Gareth Edwards,http://www.imdb.com/title/tt0831387/,//www.rottentomatoes.com/m/godzilla_2014/
The Freshman,Feature Film,Drama,102.0,PG,1990.0,7.0,20.0,6.5,15525,Certified Fresh,93.0,Upright,61.0,no,no,yes,no,no,no,Andrew Bergman,http://www.imdb.com/title/tt0099615/,//www.rottentomatoes.com/m/10009001-the_freshman/
The Legend of Hercules,Feature Film,Action & Adventure,99.0,PG-13,2014.0,1.0,10.0,4.2,43268,Rotten,3.0,Spilled,33.0,no,no,no,no,no,no,Renny Harlin,http://www.imdb.com/title/tt1043726/,//www.rottentomatoes.com/m/the_legend_of_hercules/
North Sea Hijack (ffolkes) (Assault Force),Feature Film,Action & Adventure,100.0,PG,1980.0,4.0,18.0,6.3,3153,Rotten,33.0,Spilled,43.0,no,no,no,no,no,no,Andrew V. McLaglen,http://www.imdb.com/title/tt0081809/,//www.rottentomatoes.com/m/ffolkes/
Texasville,Feature Film,Drama,123.0,R,1991.0,1.0,1.0,6.0,1887,Rotten,55.0,Spilled,50.0,no,no,yes,no,no,no,Peter Bogdanovich,http://www.imdb.com/title/tt0103069/,//www.rottentomatoes.com/m/texasville/
My Baby's Daddy,Feature Film,Comedy,86.0,PG-13,2004.0,1.0,9.0,4.5,3096,Rotten,4.0,Spilled,49.0,no,no,no,no,no,no,Cheryl Dunye,http://www.imdb.com/title/tt0332712/,//www.rottentomatoes.com/m/my_babys_daddy/
Clerks II,Feature Film,Drama,97.0,R,2006.0,7.0,21.0,7.4,112216,Fresh,63.0,Upright,84.0,no,no,no,no,no,no,Kevin Smith,http://www.imdb.com/title/tt0424345/,//www.rottentomatoes.com/m/clerks_2/
White House Down,Feature Film,Drama,131.0,PG-13,2013.0,6.0,28.0,6.4,154674,Rotten,51.0,Upright,62.0,no,no,yes,no,no,no,Roland Emmerich,http://www.imdb.com/title/tt2334879/,//www.rottentomatoes.com/m/white_house_down/
Flesh & Blood (Flesh+Blood) (The Rose and the Sword),Feature Film,Drama,126.0,R,1985.0,8.0,30.0,6.7,12535,Fresh,79.0,Upright,63.0,no,no,no,no,no,no,Paul Verhoeven,http://www.imdb.com/title/tt0089153/,//www.rottentomatoes.com/m/1007538-flesh_and_blood/
Bastard out of Carolina,Feature Film,Drama,97.0,R,1996.0,12.0,15.0,7.4,3363,Fresh,100.0,Upright,83.0,no,no,no,no,no,no,Anjelica Huston,http://www.imdb.com/title/tt0115633/,//www.rottentomatoes.com/m/bastard_out_of_carolina/
Red Dawn,Feature Film,Action & Adventure,114.0,PG-13,1984.0,8.0,10.0,6.3,40659,Rotten,53.0,Upright,65.0,no,no,no,no,no,no,John Milius,http://www.imdb.com/title/tt0087985/,//www.rottentomatoes.com/m/1017321-red_dawn/
Rescue Dawn,Feature Film,Drama,120.0,PG-13,2007.0,7.0,27.0,7.4,82378,Certified Fresh,91.0,Upright,74.0,no,no,no,no,no,no,Werner Herzog,http://www.imdb.com/title/tt0462504/,//www.rottentomatoes.com/m/rescue_dawn/
The Longshots,Feature Film,Drama,94.0,PG,2008.0,8.0,22.0,5.1,3135,Rotten,41.0,Upright,61.0,no,no,no,no,no,no,Fred Durst,http://www.imdb.com/title/tt1091751/,//www.rottentomatoes.com/m/longshots/
Blind Spot: Hitler's Secretary,Documentary,Documentary,90.0,PG,2002.0,10.0,10.0,7.3,1489,Certified Fresh,85.0,Upright,70.0,no,no,no,no,no,no,Andre Heller,http://www.imdb.com/title/tt0311320/,//www.rottentomatoes.com/m/blind_spot_hitlers_secretary/
U-Turn,Feature Film,Drama,125.0,R,1997.0,10.0,3.0,6.8,41385,Rotten,59.0,Upright,62.0,no,no,yes,no,yes,no,Oliver Stone,http://www.imdb.com/title/tt0120399/,//www.rottentomatoes.com/m/u_turn_1997/
Something's Gotta Give,Feature Film,Comedy,128.0,PG-13,2003.0,12.0,12.0,6.7,88523,Fresh,71.0,Upright,69.0,no,no,yes,yes,no,no,Nancy Meyers,http://www.imdb.com/title/tt0337741/,//www.rottentomatoes.com/m/somethings_gotta_give/
A Boy and His Dog,Feature Film,Drama,91.0,R,1975.0,3.0,1.0,6.6,12221,Fresh,75.0,Upright,63.0,no,no,no,no,no,no,L.Q. Jones,http://www.imdb.com/title/tt0072730/,//www.rottentomatoes.com/m/boy_and_his_dog/
Terror Train,Feature Film,Horror,97.0,R,1980.0,1.0,1.0,5.9,6304,Rotten,36.0,Spilled,39.0,no,no,no,no,no,no,Roger Spottiswoode,http://www.imdb.com/title/tt0081617/,//www.rottentomatoes.com/m/terror_train/
Leatherface: The Texas Chainsaw Massacre III,Feature Film,Horror,85.0,R,1990.0,1.0,12.0,5.1,9565,Rotten,19.0,Spilled,32.0,no,no,no,no,no,no,Jeff Burr,http://www.imdb.com/title/tt0099994/,//www.rottentomatoes.com/m/leatherface_the_texas_chainsaw_massacre_3/
Lorenzo's Oil,Feature Film,Drama,129.0,PG-13,1992.0,12.0,30.0,7.2,15913,Fresh,94.0,Upright,79.0,no,no,no,yes,no,no,,http://www.imdb.com/title/tt0104756/,//www.rottentomatoes.com/m/lorenzos_oil/
Groundhog Day,Feature Film,Other,101.0,PG,1993.0,2.0,12.0,8.1,414687,Certified Fresh,96.0,Upright,87.0,no,no,no,no,no,no,Harold Ramis,http://www.imdb.com/title/tt0107048/,//www.rottentomatoes.com/m/groundhog_day/
Conviction,Feature Film,Drama,107.0,R,2010.0,10.0,15.0,7.2,33720,Fresh,67.0,Upright,70.0,no,no,no,no,no,no,Tony Goldwyn,http://www.imdb.com/title/tt1244754/,//www.rottentomatoes.com/m/conviction_2010/
Kicking It,Documentary,Documentary,98.0,Unrated,2008.0,6.0,13.0,7.4,325,Rotten,53.0,Upright,71.0,no,no,no,no,no,no,Jeff Werner,http://www.imdb.com/title/tt1157668/,//www.rottentomatoes.com/m/kicking_it/
Vampire Hunter D: Bloodlust,Feature Film,Action & Adventure,103.0,R,2001.0,9.0,21.0,7.8,22245,Fresh,72.0,Upright,86.0,no,no,no,no,no,no,Yoshiaki Kawajiri,http://www.imdb.com/title/tt0216651/,//www.rottentomatoes.com/m/vampire_hunter_d_bloodlust/
Bounce,Feature Film,Drama,106.0,PG-13,2000.0,11.0,17.0,5.7,17133,Rotten,52.0,Spilled,33.0,no,no,no,yes,no,no,Don Roos,http://www.imdb.com/title/tt0186894/,//www.rottentomatoes.com/m/bounce/
A Mighty Heart,Feature Film,Drama,108.0,R,2007.0,6.0,22.0,6.7,23821,Certified Fresh,79.0,Upright,70.0,no,no,no,no,no,no,Michael Winterbottom,http://www.imdb.com/title/tt0829459/,//www.rottentomatoes.com/m/mighty_heart/
Santa Sangre,Feature Film,Drama,123.0,R,1990.0,6.0,1.0,7.7,13285,Fresh,85.0,Upright,87.0,no,no,no,no,no,no,Alejandro Jodorowsky,http://www.imdb.com/title/tt0098253/,//www.rottentomatoes.com/m/santa_sangre/
Resident Evil,Feature Film,Action & Adventure,100.0,R,2002.0,3.0,15.0,6.7,192052,Rotten,33.0,Upright,68.0,no,no,no,no,no,no,Paul W.S. Anderson,http://www.imdb.com/title/tt0120804/,//www.rottentomatoes.com/m/resident_evil/
Top Gun,Feature Film,Drama,110.0,PG,1986.0,5.0,16.0,6.9,211129,Rotten,54.0,Upright,83.0,no,no,no,no,no,yes,Tony Scott,http://www.imdb.com/title/tt0092099/,//www.rottentomatoes.com/m/top_gun/
25th Hour,Feature Film,Drama,135.0,R,2003.0,1.0,10.0,7.7,146518,Certified Fresh,78.0,Upright,85.0,no,no,yes,no,no,no,Spike Lee,http://www.imdb.com/title/tt0307901/,//www.rottentomatoes.com/m/25th_hour/
The Bad News Bears in Breaking Training,Feature Film,Comedy,100.0,PG,1977.0,7.0,8.0,5.4,2239,Rotten,50.0,Spilled,39.0,no,no,no,no,no,no,Michael Pressman,http://www.imdb.com/title/tt0075718/,//www.rottentomatoes.com/m/bad_news_bears_in_breaking_training/
Streets of Gold,Feature Film,Drama,95.0,R,1986.0,11.0,14.0,6.0,486,Rotten,31.0,Spilled,44.0,no,no,no,no,no,no,Joe Roth,http://www.imdb.com/title/tt0092022/,//www.rottentomatoes.com/m/streets_of_gold/
The Mod Squad,Feature Film,Drama,92.0,R,1999.0,3.0,26.0,4.1,7658,Rotten,4.0,Spilled,17.0,no,no,no,no,no,no,Scott Silver,http://www.imdb.com/title/tt0120757/,//www.rottentomatoes.com/m/mod_squad/
Where the Heart Is,Feature Film,Drama,107.0,R,1990.0,1.0,1.0,6.1,1268,Rotten,11.0,Spilled,58.0,no,no,no,no,no,no,John Boorman,http://www.imdb.com/title/tt0100924/,//www.rottentomatoes.com/m/1028561-where_the_heart_is/
Battlefield Earth,Feature Film,Action & Adventure,118.0,PG-13,2000.0,5.0,12.0,2.4,64119,Rotten,3.0,Spilled,11.0,no,no,yes,no,no,no,Roger Christian,http://www.imdb.com/title/tt0185183/,//www.rottentomatoes.com/m/battlefield_earth/
Osmosis Jones,Feature Film,Comedy,95.0,PG,2001.0,8.0,10.0,6.2,24678,Rotten,55.0,Spilled,41.0,no,no,no,no,no,no,Bill Murray,http://www.imdb.com/title/tt0181739/,//www.rottentomatoes.com/m/osmosis_jones/
Never Cry Wolf,Feature Film,Drama,105.0,PG,1983.0,1.0,1.0,7.6,6114,Fresh,100.0,Upright,85.0,no,no,no,no,no,no,Carroll Ballard,http://www.imdb.com/title/tt0086005/,//www.rottentomatoes.com/m/never_cry_wolf/
A Good Woman,Feature Film,Drama,93.0,PG,2006.0,2.0,3.0,6.5,9399,Rotten,37.0,Spilled,49.0,no,no,no,yes,no,no,Mike Barker,http://www.imdb.com/title/tt0379306/,//www.rottentomatoes.com/m/good_woman/
Drive,Feature Film,Drama,100.0,R,2011.0,9.0,16.0,7.8,414650,Certified Fresh,92.0,Upright,79.0,no,no,no,no,no,no,Nicolas Winding Refn,http://www.imdb.com/title/tt0780504/,//www.rottentomatoes.com/m/drive_2011/
2 Days in the Valley,Feature Film,Drama,104.0,R,1996.0,9.0,27.0,6.5,15291,Fresh,60.0,Spilled,54.0,no,no,no,yes,no,no,John Herzfeld,http://www.imdb.com/title/tt0115438/,//www.rottentomatoes.com/m/2_days_in_the_valley/
Married to It,Feature Film,Drama,112.0,R,1993.0,3.0,26.0,5.9,725,Rotten,33.0,Spilled,41.0,no,no,no,no,no,no,Arthur Hiller,http://www.imdb.com/title/tt0107523/,//www.rottentomatoes.com/m/married_to_it/
Pay It Forward,Feature Film,Drama,123.0,PG-13,2000.0,10.0,20.0,7.1,93331,Rotten,40.0,Upright,77.0,no,no,yes,yes,no,no,Mimi Leder,http://www.imdb.com/title/tt0223897/,//www.rottentomatoes.com/m/pay_it_forward/
Topsy-Turvy,Feature Film,Drama,154.0,R,1999.0,12.0,17.0,7.4,9876,Certified Fresh,89.0,Upright,79.0,no,no,no,no,no,no,Mike Leigh,http://www.imdb.com/title/tt0151568/,//www.rottentomatoes.com/m/topsyturvy/
Beyond the Gates,Feature Film,Drama,115.0,R,2005.0,12.0,8.0,7.7,9525,Certified Fresh,84.0,Upright,85.0,no,no,no,no,no,no,Michael Caton-Jones,http://www.imdb.com/title/tt0420901/,//www.rottentomatoes.com/m/beyond_the_gates/
Top Secret!,Feature Film,Comedy,90.0,PG,1984.0,6.0,8.0,7.2,44741,Fresh,76.0,Upright,80.0,no,no,no,no,no,no,David Zucker,http://www.imdb.com/title/tt0088286/,//www.rottentomatoes.com/m/1021699-top_secret/
Gaza Strip,Documentary,Documentary,74.0,Unrated,2002.0,1.0,1.0,7.3,285,Fresh,78.0,Upright,89.0,no,no,no,no,no,no,James Longley,http://www.imdb.com/title/tt0329112/,//www.rottentomatoes.com/m/gaza_strip/
Night and the City,Feature Film,Drama,105.0,R,1992.0,10.0,11.0,5.8,3673,Fresh,67.0,Spilled,31.0,no,no,yes,yes,no,no,Irwin Winkler,http://www.imdb.com/title/tt0105001/,//www.rottentomatoes.com/m/1040890-night_and_the_city/
Lockout (Unrated),Feature Film,Action & Adventure,95.0,PG-13,2012.0,4.0,13.0,6.1,79970,Rotten,38.0,Spilled,46.0,no,no,no,no,no,no,Stephen St. Leger,http://www.imdb.com/title/tt1592525/,//www.rottentomatoes.com/m/lockout_2012/
Orwell Rolls in His Grave,Documentary,Documentary,84.0,Unrated,2003.0,10.0,23.0,8.1,1058,Fresh,79.0,Upright,92.0,no,no,no,no,no,no,Robert Kane Pappas,http://www.imdb.com/title/tt0410407/,//www.rottentomatoes.com/m/orwell_rolls_in_his_grave/
Sunshine Cleaning,Feature Film,Comedy,91.0,R,2009.0,3.0,13.0,6.9,60220,Certified Fresh,72.0,Upright,62.0,no,no,no,no,no,no,Christine Jeffs,http://www.imdb.com/title/tt0862846/,//www.rottentomatoes.com/m/sunshine_cleaning/
The Stupids,Feature Film,Comedy,94.0,PG,1996.0,9.0,6.0,4.1,5591,Rotten,21.0,Spilled,36.0,no,no,no,no,no,no,John Landis,http://www.imdb.com/title/tt0117768/,//www.rottentomatoes.com/m/stupids/
Better This World,Documentary,Documentary,82.0,Unrated,2011.0,9.0,16.0,7.3,340,Fresh,100.0,Upright,80.0,no,no,no,no,no,no,Kelly Duane,http://www.imdb.com/title/tt1460739/,//www.rottentomatoes.com/m/better_this_world/
Wimbledon,Feature Film,Drama,98.0,PG-13,2004.0,9.0,17.0,6.3,50340,Fresh,60.0,Spilled,57.0,no,no,no,no,no,no,Richard Loncraine,http://www.imdb.com/title/tt0360201/,//www.rottentomatoes.com/m/wimbledon/
B. Monkey,Feature Film,Drama,92.0,R,1999.0,9.0,10.0,6.0,2934,Fresh,61.0,Spilled,55.0,no,no,no,no,no,no,Michael Radford,http://www.imdb.com/title/tt0120594/,//www.rottentomatoes.com/m/b_monkey/
Caveman,Feature Film,Action & Adventure,91.0,PG,1981.0,4.0,17.0,5.7,5564,Rotten,24.0,Spilled,55.0,no,no,no,no,no,no,Carl Gottlieb,http://www.imdb.com/title/tt0082146/,//www.rottentomatoes.com/m/caveman/
V for Vendetta,Feature Film,Drama,132.0,R,2006.0,3.0,17.0,8.2,753592,Certified Fresh,73.0,Upright,90.0,no,no,no,yes,no,no,James McTeigue,http://www.imdb.com/title/tt0434409/,//www.rottentomatoes.com/m/v_for_vendetta/
One on One,Feature Film,Drama,98.0,PG,1977.0,6.0,28.0,6.4,1141,Fresh,83.0,Upright,75.0,no,no,no,no,no,no,Lamont Johnson,http://www.imdb.com/title/tt0076500/,//www.rottentomatoes.com/m/one-on-one/
Flesh And Bone,Feature Film,Drama,126.0,R,1993.0,11.0,5.0,6.2,3967,Fresh,67.0,Spilled,40.0,no,no,no,yes,no,no,Steve Kloves,http://www.imdb.com/title/tt0106926/,//www.rottentomatoes.com/m/flesh_and_bone/
Mission: Impossible,Feature Film,Mystery & Suspense,110.0,PG-13,1996.0,5.0,22.0,7.1,287476,Fresh,63.0,Upright,71.0,no,no,yes,no,no,yes,Brian DePalma,http://www.imdb.com/title/tt0117060/,//www.rottentomatoes.com/m/mission_impossible/
A Time to Kill,Feature Film,Mystery & Suspense,149.0,R,1996.0,7.0,24.0,7.4,94983,Fresh,67.0,Upright,86.0,no,no,yes,yes,no,no,Joel Schumacher,http://www.imdb.com/title/tt0117913/,//www.rottentomatoes.com/m/1072381-time_to_kill/
